open,high,low,close,barSize,date
132.8725,133.0125,132.78,132.825,MIN_15,2015-01-29 00:00:00
132.825,133.0875,132.77,132.95,MIN_15,2015-01-29 00:15:00
132.95,132.9775,132.8,132.95,MIN_15,2015-01-29 00:30:00
132.95,133.1125,132.9125,132.935,MIN_15,2015-01-29 00:45:00
132.935,133.0375,132.89,133.02,MIN_15,2015-01-29 01:00:00
133.02,133.2375,132.95,133.165,MIN_15,2015-01-29 01:15:00
133.165,133.2325,133.1225,133.22,MIN_15,2015-01-29 01:30:00
133.22,133.4125,133.2175,133.345,MIN_15,2015-01-29 01:45:00
133.345,133.3525,133.15,133.16,MIN_15,2015-01-29 02:00:00
133.16,133.2675,133.11,133.1675,MIN_15,2015-01-29 02:15:00
133.1675,133.255,133.1075,133.2,MIN_15,2015-01-29 02:30:00
133.2,133.305,133.1825,133.2675,MIN_15,2015-01-29 02:45:00
133.2675,133.3325,133.1875,133.2275,MIN_15,2015-01-29 03:00:00
133.2275,133.3625,133.1975,133.3325,MIN_15,2015-01-29 03:15:00
133.3325,133.505,133.3125,133.3825,MIN_15,2015-01-29 03:30:00
133.3825,133.5175,133.35,133.4725,MIN_15,2015-01-29 03:45:00
133.4725,133.78,133.4475,133.5975,MIN_15,2015-01-29 04:00:00
133.5975,133.73,133.555,133.5675,MIN_15,2015-01-29 04:15:00
133.5675,133.605,133.485,133.5275,MIN_15,2015-01-29 04:30:00
133.5275,133.5425,133.335,133.4075,MIN_15,2015-01-29 04:45:00
133.4075,133.4875,133.315,133.42,MIN_15,2015-01-29 05:00:00
133.42,133.5525,133.3775,133.4175,MIN_15,2015-01-29 05:15:00
133.4175,133.64,133.3825,133.57,MIN_15,2015-01-29 05:30:00
133.57,133.635,133.5,133.575,MIN_15,2015-01-29 05:45:00
133.575,133.7225,133.575,133.7,MIN_15,2015-01-29 06:00:00
133.7,133.7825,133.6225,133.77,MIN_15,2015-01-29 06:15:00
133.77,133.8225,133.6575,133.75,MIN_15,2015-01-29 06:30:00
133.75,133.8,133.6225,133.6225,MIN_15,2015-01-29 06:45:00
133.6225,133.74,133.6175,133.7125,MIN_15,2015-01-29 07:00:00
133.7125,133.9975,133.6575,133.9775,MIN_15,2015-01-29 07:15:00
133.9775,134.0775,133.7475,133.785,MIN_15,2015-01-29 07:30:00
133.785,133.91,133.7175,133.8525,MIN_15,2015-01-29 07:45:00
133.8525,133.8625,133.7125,133.8025,MIN_15,2015-01-29 08:00:00
133.8025,133.8275,133.65,133.6675,MIN_15,2015-01-29 08:15:00
133.6675,133.7275,133.5925,133.6775,MIN_15,2015-01-29 08:30:00
133.6775,133.8475,133.6125,133.7775,MIN_15,2015-01-29 08:45:00
133.7775,133.825,133.6325,133.6825,MIN_15,2015-01-29 09:00:00
133.6825,133.735,133.615,133.675,MIN_15,2015-01-29 09:15:00
133.675,133.685,133.5925,133.6075,MIN_15,2015-01-29 09:30:00
133.6075,133.815,133.6075,133.78,MIN_15,2015-01-29 09:45:00
133.78,133.855,133.68,133.825,MIN_15,2015-01-29 10:00:00
133.825,133.9775,133.8225,133.895,MIN_15,2015-01-29 10:15:00
133.895,134.0475,133.87,133.9725,MIN_15,2015-01-29 10:30:00
133.9725,134.005,133.915,133.9425,MIN_15,2015-01-29 10:45:00
133.9425,134.0,133.9075,133.93,MIN_15,2015-01-29 11:00:00
133.93,133.98,133.885,133.9275,MIN_15,2015-01-29 11:15:00
133.9275,133.9925,133.8675,133.875,MIN_15,2015-01-29 11:30:00
133.875,133.935,133.8375,133.92,MIN_15,2015-01-29 11:45:00
133.92,133.965,133.85,133.93,MIN_15,2015-01-29 12:00:00
133.93,134.005,133.915,133.93,MIN_15,2015-01-29 12:15:00
133.93,134.0025,133.91,133.9525,MIN_15,2015-01-29 12:30:00
133.9525,134.0075,133.9175,133.9675,MIN_15,2015-01-29 12:45:00
133.9675,134.01,133.92,133.975,MIN_15,2015-01-29 13:00:00
133.975,133.995,133.94,133.95,MIN_15,2015-01-29 13:15:00
133.95,133.9825,133.93,133.9425,MIN_15,2015-01-29 13:30:00
133.9425,133.965,133.865,133.8825,MIN_15,2015-01-29 13:45:00
133.9175,133.9575,133.8925,133.93,MIN_15,2015-01-29 14:15:00
133.93,134.0475,133.9225,134.005,MIN_15,2015-01-29 14:30:00
134.005,134.08,133.9875,134.065,MIN_15,2015-01-29 14:45:00
134.065,134.135,134.035,134.1075,MIN_15,2015-01-29 15:00:00
134.1075,134.1775,134.0525,134.1575,MIN_15,2015-01-29 15:15:00
