open,high,low,close,barSize,date
1.128875,1.1289,1.126525,1.126775,MIN_15,2015-01-29 00:00:00
1.126775,1.128625,1.12655,1.127775,MIN_15,2015-01-29 00:15:00
1.127775,1.129775,1.127125,1.1293,MIN_15,2015-01-29 00:30:00
1.1293,1.129925,1.128675,1.1288,MIN_15,2015-01-29 00:45:00
1.1288,1.129825,1.1286,1.129675,MIN_15,2015-01-29 01:00:00
1.129675,1.130875,1.129275,1.13025,MIN_15,2015-01-29 01:15:00
1.13025,1.130725,1.129875,1.130675,MIN_15,2015-01-29 01:30:00
1.130675,1.131925,1.130675,1.131575,MIN_15,2015-01-29 01:45:00
1.131575,1.131675,1.130525,1.130575,MIN_15,2015-01-29 02:00:00
1.130575,1.131275,1.129125,1.129475,MIN_15,2015-01-29 02:15:00
1.129475,1.130325,1.12905,1.12945,MIN_15,2015-01-29 02:30:00
1.12945,1.131075,1.129275,1.130675,MIN_15,2015-01-29 02:45:00
1.130675,1.130875,1.129475,1.130225,MIN_15,2015-01-29 03:00:00
1.130225,1.131775,1.130025,1.131625,MIN_15,2015-01-29 03:15:00
1.131625,1.132775,1.131125,1.13185,MIN_15,2015-01-29 03:30:00
1.13185,1.131925,1.130925,1.131125,MIN_15,2015-01-29 03:45:00
1.131125,1.132275,1.130825,1.131175,MIN_15,2015-01-29 04:00:00
1.131175,1.131825,1.130425,1.1306,MIN_15,2015-01-29 04:15:00
1.1306,1.130975,1.130175,1.130425,MIN_15,2015-01-29 04:30:00
1.130425,1.130675,1.129325,1.1297,MIN_15,2015-01-29 04:45:00
1.1297,1.131625,1.12945,1.131475,MIN_15,2015-01-29 05:00:00
1.131475,1.132075,1.131025,1.13155,MIN_15,2015-01-29 05:15:00
1.13155,1.131725,1.129725,1.1309,MIN_15,2015-01-29 05:30:00
1.1309,1.13265,1.13065,1.132325,MIN_15,2015-01-29 05:45:00
1.132325,1.134375,1.132325,1.13335,MIN_15,2015-01-29 06:00:00
1.13335,1.13405,1.133075,1.133475,MIN_15,2015-01-29 06:15:00
1.133475,1.133975,1.132075,1.133875,MIN_15,2015-01-29 06:30:00
1.133875,1.134925,1.133275,1.133475,MIN_15,2015-01-29 06:45:00
1.133475,1.134175,1.1325,1.134125,MIN_15,2015-01-29 07:00:00
1.134125,1.135925,1.133575,1.135675,MIN_15,2015-01-29 07:15:00
1.135675,1.136775,1.134775,1.135225,MIN_15,2015-01-29 07:30:00
1.135225,1.135625,1.133675,1.133725,MIN_15,2015-01-29 07:45:00
1.133725,1.134075,1.1327,1.132825,MIN_15,2015-01-29 08:00:00
1.132825,1.133025,1.131125,1.131325,MIN_15,2015-01-29 08:15:00
1.131325,1.131375,1.129875,1.13075,MIN_15,2015-01-29 08:30:00
1.13075,1.131175,1.129675,1.130825,MIN_15,2015-01-29 08:45:00
1.130825,1.131025,1.12855,1.12865,MIN_15,2015-01-29 09:00:00
1.12865,1.129175,1.128175,1.128575,MIN_15,2015-01-29 09:15:00
1.128575,1.128825,1.127875,1.128675,MIN_15,2015-01-29 09:30:00
1.128675,1.130725,1.128675,1.130425,MIN_15,2015-01-29 09:45:00
1.130425,1.13065,1.129475,1.130625,MIN_15,2015-01-29 10:00:00
1.130625,1.13115,1.13005,1.13035,MIN_15,2015-01-29 10:15:00
1.13035,1.131575,1.13025,1.1313,MIN_15,2015-01-29 10:30:00
1.1313,1.131425,1.130525,1.130925,MIN_15,2015-01-29 10:45:00
1.130925,1.1315,1.130675,1.131125,MIN_15,2015-01-29 11:00:00
1.131125,1.13145,1.13065,1.13075,MIN_15,2015-01-29 11:15:00
1.13075,1.131575,1.130725,1.13085,MIN_15,2015-01-29 11:30:00
1.13085,1.131425,1.130575,1.131325,MIN_15,2015-01-29 11:45:00
1.131325,1.131475,1.130725,1.13145,MIN_15,2015-01-29 12:00:00
1.13145,1.131875,1.131175,1.13175,MIN_15,2015-01-29 12:15:00
1.13175,1.132325,1.131375,1.131825,MIN_15,2015-01-29 12:30:00
1.131825,1.132675,1.1316,1.1325,MIN_15,2015-01-29 12:45:00
1.1325,1.132525,1.132125,1.132175,MIN_15,2015-01-29 13:00:00
1.132175,1.132375,1.131875,1.1319,MIN_15,2015-01-29 13:15:00
1.1319,1.132175,1.1318,1.1318,MIN_15,2015-01-29 13:30:00
1.1318,1.13225,1.131725,1.131975,MIN_15,2015-01-29 13:45:00
1.132175,1.1323,1.132125,1.132275,MIN_15,2015-01-29 14:15:00
1.132275,1.132625,1.132125,1.132475,MIN_15,2015-01-29 14:30:00
1.132475,1.132875,1.13235,1.132875,MIN_15,2015-01-29 14:45:00
1.132875,1.132925,1.1327,1.132825,MIN_15,2015-01-29 15:00:00
1.132825,1.132875,1.132625,1.132725,MIN_15,2015-01-29 15:15:00
1.132725,1.13335,1.13255,1.13325,MIN_15,2015-01-29 15:30:00
1.13325,1.133725,1.133225,1.133375,MIN_15,2015-01-29 15:45:00
1.133375,1.133775,1.132275,1.13275,MIN_15,2015-01-29 16:00:00
1.13275,1.132975,1.132475,1.13265,MIN_15,2015-01-29 16:15:00
1.13265,1.13285,1.132275,1.132825,MIN_15,2015-01-29 16:30:00
1.132825,1.13305,1.13195,1.13275,MIN_15,2015-01-29 16:45:00
1.13275,1.132925,1.132625,1.132825,MIN_15,2015-01-29 17:00:00
1.132825,1.133425,1.132825,1.13325,MIN_15,2015-01-29 17:15:00
1.13325,1.133375,1.132825,1.133225,MIN_15,2015-01-29 17:30:00
1.133225,1.133475,1.133225,1.133325,MIN_15,2015-01-29 17:45:00
1.133325,1.133525,1.13325,1.133525,MIN_15,2015-01-29 18:00:00
1.133525,1.133525,1.132975,1.133225,MIN_15,2015-01-29 18:15:00
1.133225,1.133225,1.132525,1.1326,MIN_15,2015-01-29 18:30:00
1.1326,1.133125,1.132575,1.133025,MIN_15,2015-01-29 18:45:00
1.133025,1.133325,1.132825,1.133225,MIN_15,2015-01-29 19:00:00
1.133225,1.133225,1.132725,1.132825,MIN_15,2015-01-29 19:15:00
1.132825,1.132825,1.132275,1.132475,MIN_15,2015-01-29 19:30:00
1.132475,1.132725,1.132175,1.13265,MIN_15,2015-01-29 19:45:00
1.13265,1.1327,1.132175,1.132325,MIN_15,2015-01-29 20:00:00
1.132325,1.132525,1.132325,1.13245,MIN_15,2015-01-29 20:15:00
1.13245,1.132725,1.132375,1.132525,MIN_15,2015-01-29 20:30:00
1.132525,1.132825,1.132425,1.13275,MIN_15,2015-01-29 20:45:00
1.13275,1.133425,1.132725,1.133325,MIN_15,2015-01-29 21:00:00
1.133325,1.1339,1.133225,1.133625,MIN_15,2015-01-29 21:15:00
1.133625,1.133925,1.133325,1.133825,MIN_15,2015-01-29 21:30:00
1.133825,1.133925,1.133625,1.133925,MIN_15,2015-01-29 21:45:00
1.133925,1.134475,1.133625,1.134425,MIN_15,2015-01-29 22:00:00
1.134425,1.134425,1.134025,1.134025,MIN_15,2015-01-29 22:15:00
1.134025,1.13415,1.133575,1.133825,MIN_15,2015-01-29 22:30:00
1.133825,1.133875,1.133025,1.133425,MIN_15,2015-01-29 22:45:00
1.133425,1.13355,1.1325,1.132675,MIN_15,2015-01-29 23:00:00
