open,high,low,close,barSize,date
117.7075,117.9175,117.695,117.8775,MIN_15,2015-01-29 00:00:00
117.8775,117.9625,117.825,117.8875,MIN_15,2015-01-29 00:15:00
117.8875,117.9075,117.6975,117.725,MIN_15,2015-01-29 00:30:00
117.725,117.8225,117.7225,117.765,MIN_15,2015-01-29 00:45:00
117.765,117.8375,117.7325,117.7475,MIN_15,2015-01-29 01:00:00
117.7475,117.8375,117.71,117.82,MIN_15,2015-01-29 01:15:00
117.82,117.8775,117.77,117.8275,MIN_15,2015-01-29 01:30:00
117.8275,117.9025,117.8075,117.8375,MIN_15,2015-01-29 01:45:00
117.8375,117.8475,117.7625,117.7775,MIN_15,2015-01-29 02:00:00
117.7775,117.9175,117.7775,117.9025,MIN_15,2015-01-29 02:15:00
117.9025,117.9325,117.86,117.9325,MIN_15,2015-01-29 02:30:00
117.9325,117.9575,117.8525,117.865,MIN_15,2015-01-29 02:45:00
117.865,117.9225,117.8625,117.8775,MIN_15,2015-01-29 03:00:00
117.8775,117.89,117.8125,117.8225,MIN_15,2015-01-29 03:15:00
117.8225,117.9025,117.815,117.8425,MIN_15,2015-01-29 03:30:00
117.8425,118.0225,117.8275,117.9975,MIN_15,2015-01-29 03:45:00
117.9975,118.1925,117.995,118.1075,MIN_15,2015-01-29 04:00:00
118.1075,118.1775,118.0775,118.1375,MIN_15,2015-01-29 04:15:00
118.1375,118.1725,118.075,118.1275,MIN_15,2015-01-29 04:30:00
118.1275,118.14,118.0175,118.09,MIN_15,2015-01-29 04:45:00
118.09,118.095,117.895,117.915,MIN_15,2015-01-29 05:00:00
117.915,117.9925,117.88,117.8975,MIN_15,2015-01-29 05:15:00
117.8975,118.1575,117.895,118.11,MIN_15,2015-01-29 05:30:00
118.11,118.1275,117.915,117.9625,MIN_15,2015-01-29 05:45:00
117.9625,117.975,117.8425,117.97,MIN_15,2015-01-29 06:00:00
117.97,118.0175,117.895,118.015,MIN_15,2015-01-29 06:15:00
118.015,118.1275,117.925,117.96,MIN_15,2015-01-29 06:30:00
117.96,118.0125,117.8575,117.885,MIN_15,2015-01-29 06:45:00
117.885,118.0525,117.85,117.8975,MIN_15,2015-01-29 07:00:00
